2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [repository-url]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2020.06.30 06:29:27 INFO  es[][o.e.p.PluginsService] no plugins loaded
2020.06.30 06:29:30 WARN  es[][o.e.d.c.s.Settings] [http.enabled] setting was deprecated in Elasticsearch and will be removed in a future release! See the breaking changes documentation for the next major version.
2020.06.30 06:29:32 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and host providers [settings]
2020.06.30 06:29:32 INFO  es[][o.e.n.Node] initialized
2020.06.30 06:29:32 INFO  es[][o.e.n.Node] starting ...
2020.06.30 06:29:33 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2020.06.30 06:29:33 INFO  es[][o.e.b.BootstrapChecks] explicitly enforcing bootstrap checks
2020.06.30 06:29:36 INFO  es[][o.e.c.s.MasterService] zen-disco-elected-as-master ([0] nodes joined), reason: new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{MUTc80H8Q_a900zi4HjSrA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}
2020.06.30 06:29:36 INFO  es[][o.e.c.s.ClusterApplierService] new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{MUTc80H8Q_a900zi4HjSrA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: apply cluster state (from master [master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{MUTc80H8Q_a900zi4HjSrA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube} committed version [1] source [zen-disco-elected-as-master ([0] nodes joined)]])
2020.06.30 06:29:36 INFO  es[][o.e.n.Node] started
2020.06.30 06:29:36 INFO  es[][o.e.g.GatewayService] recovered [0] indices into cluster_state
2020.06.30 06:30:33 INFO  es[][o.e.n.Node] stopping ...
2020.06.30 06:30:33 INFO  es[][o.e.n.Node] stopped
2020.06.30 06:30:33 INFO  es[][o.e.n.Node] closing ...
2020.06.30 06:30:33 INFO  es[][o.e.n.Node] closed
2020.06.30 06:34:00 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/mapper/vg_data-lvol0)]], net usable_space [285.7gb], net total_space [299.8gb], types [xfs]
2020.06.30 06:34:00 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2020.06.30 06:34:00 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [4faSyD4QQhSNyQV8PSdzIw]
2020.06.30 06:34:00 INFO  es[][o.e.n.Node] version[6.8.0], pid[30], build[default/tar/65b6179/2019-05-15T20:06:13.172855Z], OS[Linux/3.10.0-957.5.1.el7.x86_64/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/11.0.7/11.0.7+10]
2020.06.30 06:34:00 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.enforce.bootstrap.checks=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [mapper-extras]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [repository-url]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2020.06.30 06:34:01 INFO  es[][o.e.p.PluginsService] no plugins loaded
2020.06.30 06:34:05 WARN  es[][o.e.d.c.s.Settings] [http.enabled] setting was deprecated in Elasticsearch and will be removed in a future release! See the breaking changes documentation for the next major version.
2020.06.30 06:34:07 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and host providers [settings]
2020.06.30 06:34:07 INFO  es[][o.e.n.Node] initialized
2020.06.30 06:34:07 INFO  es[][o.e.n.Node] starting ...
2020.06.30 06:34:08 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2020.06.30 06:34:08 INFO  es[][o.e.b.BootstrapChecks] explicitly enforcing bootstrap checks
2020.06.30 06:34:11 INFO  es[][o.e.c.s.MasterService] zen-disco-elected-as-master ([0] nodes joined), reason: new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{Ps6xDoSGQKuW09i_q7yfSg}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}
2020.06.30 06:34:11 INFO  es[][o.e.c.s.ClusterApplierService] new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{Ps6xDoSGQKuW09i_q7yfSg}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: apply cluster state (from master [master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{Ps6xDoSGQKuW09i_q7yfSg}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube} committed version [1] source [zen-disco-elected-as-master ([0] nodes joined)]])
